"tanggal,water_level"
"2020-03-20,60"
"2020-03-20,70"
"2020-03-20,70"
"2020-03-20,90"
"2020-03-20,80"
"2020-03-20,60"
"2020-03-20,90"
"2020-03-20,100"
"2020-03-20,120"
"2020-03-20,110"
"2020-03-20,110"
"2020-03-20,150"
"2020-03-20,140"
"2020-03-20,130"
"2020-03-20,120"
"2020-03-20,110"
"2020-03-20,100"
"2020-03-20,120"
"2020-03-20,110"
"2020-03-20,100"
"2020-03-20,110"
"2020-03-20,90"
"2020-03-21,90"
"2020-03-21,90"
"2020-03-21,90"
"2020-03-21,90"
"2020-03-21,100"
"2020-03-21,70"
"2020-03-21,80"
"2020-03-21,80"
"2020-03-21,80"
"2020-03-21,80"
"2020-03-21,80"
"2020-03-21,80"
"2020-03-21,70"
"2020-03-21,100"
"2020-03-21,70"
"2020-03-21,90"
"2020-03-21,70"
"2020-03-21,70"
"2020-03-21,60"
"2020-03-21,90"
"2020-03-21,90"
"2020-03-21,80"
"2020-03-21,60"
"2020-03-21,50"
"2020-03-21,60"
"2020-03-21,70"
"2020-03-21,60"
"2020-03-21,70"
"2020-03-21,60"
"2020-03-21,70"
"2020-03-21,60"
"2020-03-21,50"
"2020-03-21,60"
"2020-03-21,40"
"2020-03-21,80"
"2020-03-21,50"
"2020-03-21,60"
"2020-03-21,50"
"2020-03-21,40"
"2020-03-21,60"
"2020-03-21,70"
"2020-03-21,40"
"2020-03-21,50"
"2020-03-21,40"
"2020-03-21,40"
"2020-03-21,70"
"2020-03-21,40"
"2020-03-22,50"
"2020-03-22,60"
"2020-03-22,70"
"2020-03-22,70"
"2020-03-22,70"
"2020-03-22,120"
"2020-03-22,130"
"2020-03-22,110"
"2020-03-22,110"
"2020-03-22,100"
"2020-03-22,70"
"2020-03-22,50"
"2020-03-22,80"
"2020-03-22,80"
"2020-03-22,80"
"2020-03-22,80"
"2020-03-22,90"
"2020-03-22,70"
"2020-03-22,60"
"2020-03-22,80"
"2020-03-22,70"
"2020-03-22,70"
"2020-03-22,80"
"2020-03-22,60"
"2020-03-22,80"
"2020-03-22,70"
"2020-03-22,50"
"2020-03-22,70"
"2020-03-22,70"
"2020-03-22,90"
"2020-03-22,70"
"2020-03-22,60"
"2020-03-22,40"
"2020-03-22,50"
"2020-03-22,50"
"2020-03-22,50"
"2020-03-22,50"
"2020-03-22,20"
"2020-03-22,30"
"2020-03-22,100"
"2020-03-22,100"
"2020-03-22,170"
"2020-03-22,210"
"2020-03-22,220"
"2020-03-22,210"
"2020-03-22,200"
"2020-03-22,150"
"2020-03-22,170"
"2020-03-23,150"
"2020-03-23,120"
"2020-03-23,110"
"2020-03-23,130"
"2020-03-23,120"
"2020-03-23,140"
"2020-03-23,90"
"2020-03-23,120"
"2020-03-23,110"
"2020-03-23,120"
"2020-03-23,110"
"2020-03-23,100"
"2020-03-23,120"
"2020-03-23,130"
"2020-03-23,110"
"2020-03-23,110"
"2020-03-23,120"
"2020-03-23,90"
"2020-03-23,120"
"2020-03-23,110"
"2020-03-23,100"
"2020-03-23,120"
"2020-03-23,110"
"2020-03-23,100"
"2020-03-23,100"
"2020-03-23,100"
"2020-03-23,90"
"2020-03-23,110"
"2020-03-23,100"
"2020-03-23,100"
"2020-03-23,100"
"2020-03-23,90"
"2020-03-23,110"
"2020-03-23,100"
"2020-03-23,130"
"2020-03-23,90"
"2020-03-23,110"
"2020-03-23,110"
"2020-03-23,110"
"2020-03-23,90"
"2020-03-23,90"
"2020-03-23,100"
"2020-03-23,80"
"2020-03-23,70"
"2020-03-23,60"
"2020-03-23,70"
"2020-03-23,80"
"2020-03-23,100"
"2020-03-24,50"
"2020-03-24,90"
"2020-03-24,80"
"2020-03-24,50"
"2020-03-24,80"
"2020-03-24,60"
"2020-03-24,90"
"2020-03-24,80"
"2020-03-24,80"
"2020-03-24,60"
"2020-03-24,70"
"2020-03-24,70"
"2020-03-24,90"
"2020-03-24,80"
"2020-03-24,90"
"2020-03-24,100"
"2020-03-24,70"
"2020-03-24,80"
"2020-03-24,90"
"2020-03-24,80"
"2020-03-24,70"
"2020-03-24,70"
"2020-03-24,60"
"2020-03-24,60"
"2020-03-24,60"
"2020-03-24,60"
"2020-03-24,60"
"2020-03-24,70"
"2020-03-24,60"
"2020-03-24,50"
"2020-03-24,70"
"2020-03-24,60"
"2020-03-24,60"
"2020-03-24,60"
"2020-03-24,70"
"2020-03-24,50"
"2020-03-24,70"
"2020-03-24,50"
"2020-03-24,80"
"2020-03-24,60"
"2020-03-24,70"
"2020-03-24,80"
"2020-03-24,80"
"2020-03-24,70"
"2020-03-24,80"
"2020-03-24,70"
"2020-03-24,80"
"2020-03-24,80"
"2020-03-25,50"
"2020-03-25,80"
"2020-03-25,100"
"2020-03-25,630"
"2020-03-25,860"
"2020-03-25,640"
"2020-03-25,500"
"2020-03-25,470"
"2020-03-25,480"
"2020-03-25,450"
"2020-03-25,400"
"2020-03-25,360"
"2020-03-25,300"
"2020-03-25,300"
"2020-03-25,300"
"2020-03-25,300"
"2020-03-25,350"
"2020-03-25,380"
"2020-03-25,370"
"2020-03-25,370"
"2020-03-25,370"
"2020-03-25,360"
"2020-03-25,400"
"2020-03-25,360"
"2020-03-25,370"
"2020-03-25,370"
"2020-03-25,380"
"2020-03-25,380"
"2020-03-25,310"
"2020-03-25,320"
"2020-03-25,370"
"2020-03-25,350"
"2020-03-25,400"
"2020-03-25,330"
"2020-03-25,360"
"2020-03-25,430"
"2020-03-25,280"
"2020-03-25,420"
"2020-03-25,410"
"2020-03-25,280"
"2020-03-25,330"
"2020-03-25,310"
"2020-03-25,320"
"2020-03-25,390"
"2020-03-25,350"
"2020-03-25,300"
"2020-03-25,300"
"2020-03-25,300"
"2020-03-26,350"
"2020-03-26,350"
"2020-03-26,380"
"2020-03-26,390"
"2020-03-26,360"
"2020-03-26,360"
"2020-03-26,350"
"2020-03-26,360"
"2020-03-26,340"
"2020-03-26,380"
"2020-03-26,390"
"2020-03-26,400"
"2020-03-26,380"
"2020-03-26,380"
"2020-03-26,370"
"2020-03-26,380"
"2020-03-26,380"
"2020-03-26,380"
"2020-03-26,380"
"2020-03-26,380"
"2020-03-26,370"
"2020-03-26,370"
"2020-03-26,350"
"2020-03-26,350"
"2020-03-26,340"
"2020-03-26,340"
"2020-03-26,340"
"2020-03-26,340"
"2020-03-26,350"
"2020-03-26,360"
"2020-03-26,360"
"2020-03-26,320"
"2020-03-26,350"
"2020-03-26,340"
"2020-03-26,340"
"2020-03-26,350"
"2020-03-26,430"
"2020-03-26,420"
"2020-03-26,410"
"2020-03-26,400"
"2020-03-26,370"
"2020-03-26,380"
"2020-03-26,390"
"2020-03-26,380"
"2020-03-26,390"
"2020-03-26,380"
